Kundenname,Alter,Zahlungsmethode,ø Preis,Menge,Datum,Uhrzeit
Timo Siering,46,EC-Karte,40.99,3,26.07.2022,11:32:13
Dr. Knut Höfig B.A.,29,Bar,20.99,4,26.07.2022,11:43:04
Julius Weihmann,61,EC-Karte,34.99,3,26.07.2022,12:12:51
Dipl.-Ing. Milena Hauffer B.A.,66,Bar,41.99,5,26.07.2022,12:19:39
Claus-Dieter Klotz,28,Bar,19.99,2,26.07.2022,12:29:29
Mathilde Kostolzin,31,Bar,20.99,2,26.07.2022,12:40:55
Frau Carin Roht B.Eng.,62,Bar,43.99,5,26.07.2022,13:04:42
Magret Schuster,53,Kreditkarte,39.99,5,26.07.2022,13:54:29
Lorenzo Lehmann,26,EC-Karte,25.99,5,26.07.2022,13:55:26
Katarina Beer,55,Bar,44.99,5,26.07.2022,13:56:20
Marita Gieß,32,Kreditkarte,21.99,2,26.07.2022,14:07:01
Melitta Weinhage-Kabus,63,EC-Karte,47.99,8,26.07.2022,14:17:10
Dietlinde Sager-Scholz,31,Bar,20.99,2,26.07.2022,15:10:23
Prof. Julian Putz B.Eng.,59,Bar,48.99,3,26.07.2022,15:23:48
Fatma Dobes,49,Kreditkarte,36.99,6,26.07.2022,15:24:48
Univ.Prof. Siegfried Plath B.Eng.,65,EC-Karte,42.99,4,26.07.2022,15:51:14
Etta Beckmann,28,EC-Karte,8.99,1,26.07.2022,16:29:39
Calogero Schmidtke,56,Kreditkarte,47.99,4,26.07.2022,16:34:54
Dipl.-Ing. Uta Gnatz B.Eng.,29,EC-Karte,25.99,2,26.07.2022,16:47:20
Gotthard Gnatz-Scholz,67,EC-Karte,43.99,7,26.07.2022,17:05:58
Vladimir Naser,22,EC-Karte,24.99,2,26.07.2022,17:07:32
Dr. Stavros Wagner MBA.,34,Kreditkarte,18.99,1,26.07.2022,19:24:07
Felicitas Kühnert-Bähr,54,EC-Karte,38.99,9,26.07.2022,19:24:17
Frida Dobes-Biggen,60,EC-Karte,39.99,2,26.07.2022,19:34:45
Slobodan Mude B.A.,61,Bar,52.99,5,26.07.2022,19:35:36
Vincent Schmidt-Eckbauer,56,EC-Karte,47.99,3,27.07.2022,10:09:55
Manja Birnbaum,33,Bar,12.99,3,27.07.2022,10:14:58
Anna-Luise Fliegner,24,Bar,28.99,1,27.07.2022,10:21:08
Felicia Baum,32,Kreditkarte,20.99,5,27.07.2022,10:23:04
Prof. Juergen Rosenow,57,Bar,51.99,6,27.07.2022,10:58:48
Ursel Henk,29,Kreditkarte,30.99,4,27.07.2022,11:27:17
Dr. Franco Gerlach,32,Kreditkarte,22.99,2,27.07.2022,12:08:33
Gusti Bolander MBA.,65,Kreditkarte,50.99,3,27.07.2022,12:16:36
Dipl.-Ing. William Meister MBA.,65,Kreditkarte,45.99,10,27.07.2022,12:39:11
Dipl.-Ing. Matthäus Fechner,23,Kreditkarte,15.99,2,27.07.2022,14:08:30
Paulina Gotthard,27,EC-Karte,12.99,2,27.07.2022,14:13:27
Dipl.-Ing. Alex Rose B.A.,21,EC-Karte,21.99,2,27.07.2022,14:25:17
Berend Tintzmann-Bonbach,50,Kreditkarte,37.99,5,27.07.2022,14:32:26
Jana Stolze,60,EC-Karte,35.99,10,27.07.2022,14:48:01
Beata Fröhlich,55,EC-Karte,45.99,10,27.07.2022,14:49:01
Erdmute Mans,26,EC-Karte,21.99,2,27.07.2022,15:52:45
Ditmar Mosemann MBA.,56,EC-Karte,35.99,5,27.07.2022,16:04:20
Arnd Häring B.Sc.,56,EC-Karte,33.99,2,27.07.2022,16:17:42
Dipl.-Ing. Frida Kraushaar MBA.,57,Bar,42.99,8,27.07.2022,16:54:07
Vadim Faust-Huhn,48,Kreditkarte,40.99,6,27.07.2022,16:56:39
Miodrag Aumann-Biggen,51,EC-Karte,41.99,7,27.07.2022,17:41:42
Kristiane Wernecke-Reuter,59,EC-Karte,36.99,2,27.07.2022,17:50:52
Irmgard Seidel,24,EC-Karte,24.99,4,27.07.2022,18:08:14
Kai-Uwe Barth,60,EC-Karte,31.99,3,27.07.2022,18:08:23
Raymund Kraushaar,41,EC-Karte,18.99,5,27.07.2022,18:12:36
Ariane Caspar-Baum,52,EC-Karte,36.99,6,27.07.2022,18:30:52
Aloys Häring,64,Kreditkarte,46.99,2,27.07.2022,18:54:10
Ing. Andree Kroker B.A.,34,Bar,18.99,2,28.07.2022,10:23:05
Karla Ring B.Eng.,59,Bar,48.99,6,28.07.2022,10:24:58
Eugenie Scheel MBA.,55,Kreditkarte,47.99,6,28.07.2022,10:35:24
Sofia Oderwald,58,Kreditkarte,40.99,7,28.07.2022,10:42:20
Rosl Jacob,66,Kreditkarte,48.99,6,28.07.2022,10:47:14
Henriette Seip-Thies,28,Kreditkarte,21.99,4,28.07.2022,10:50:11
Mesut Herrmann,54,Kreditkarte,44.99,1,28.07.2022,11:44:58
Corina Dippel,26,Bar,22.99,1,28.07.2022,11:56:43
Änne Heidrich,24,EC-Karte,25.99,2,28.07.2022,12:00:46
Michael Becker,63,EC-Karte,40.99,7,28.07.2022,12:07:55
Christiane Birnbaum,56,Bar,49.99,10,28.07.2022,12:37:23
Dr. Gertraut Fischer,56,EC-Karte,41.99,3,28.07.2022,13:27:49
Ronny Bachmann,58,EC-Karte,33.99,8,28.07.2022,13:35:55
Claus-Dieter Heß,59,EC-Karte,40.99,5,28.07.2022,13:54:01
Siegward Löwer,62,EC-Karte,53.99,3,28.07.2022,14:14:05
Cetin Steckel,31,Bar,18.99,2,28.07.2022,14:56:49
Jens-Uwe Löffler,33,Bar,25.99,7,28.07.2022,14:59:17
Kilian Holzapfel,29,EC-Karte,16.99,2,28.07.2022,15:15:30
Pascal Berger B.Sc.,60,EC-Karte,24.99,8,28.07.2022,16:03:27
Prof. Wolfram Scholtz,71,Bar,38.99,6,28.07.2022,16:06:39
Kristiane Pieper-Werner,33,EC-Karte,16.99,2,28.07.2022,17:47:36
Camilla Haering,31,EC-Karte,18.99,3,28.07.2022,18:20:33
Dr. Benno Jäkel,36,EC-Karte,20.99,5,28.07.2022,18:55:14
Bettina Seifert,49,EC-Karte,54.99,4,28.07.2022,19:08:08
Hedwig Lindner B.Sc.,25,Kreditkarte,21.99,4,28.07.2022,19:09:33
Alexander Hörle,30,Kreditkarte,27.99,2,28.07.2022,19:29:30
Andres Hörle B.A.,32,Kreditkarte,21.99,3,28.07.2022,19:41:52
Ottilie Eberhardt,21,Kreditkarte,22.99,3,28.07.2022,19:46:39
Harald Fischer,33,Kreditkarte,14.99,4,29.07.2022,10:03:37
Mariusz Budig B.Sc.,30,Kreditkarte,20.99,2,29.07.2022,10:03:46
Rudolph Scheel,58,Bar,39.99,6,29.07.2022,10:08:33
Gudrun Vogt B.A.,28,Kreditkarte,22.99,4,29.07.2022,10:18:52
Janna Klemm,57,Kreditkarte,40.99,4,29.07.2022,12:28:02
Meryem Wagenknecht,33,EC-Karte,15.99,3,29.07.2022,13:37:30
Helga Hövel,49,Bar,42.99,3,29.07.2022,13:58:36
Olav Buchholz-Vollbrecht,46,EC-Karte,31.99,3,29.07.2022,14:03:02
Elwira Karz,56,EC-Karte,37.99,9,29.07.2022,14:13:52
Gino Hering MBA.,64,Kreditkarte,43.99,3,29.07.2022,14:32:56
Herr Reinhart Bruder B.Eng.,59,Kreditkarte,50.99,6,29.07.2022,14:33:14
Pietro Kroker,34,Kreditkarte,18.99,5,29.07.2022,15:09:27
Juliane Schomber B.Sc.,50,Kreditkarte,45.99,4,29.07.2022,15:26:24
Ignatz Tröst,35,EC-Karte,24.99,1,29.07.2022,15:38:59
Hellmuth Lindau,50,EC-Karte,32.99,6,29.07.2022,16:31:21
Dr. Jörn Pergande MBA.,38,Bar,25.99,4,29.07.2022,16:52:18
Bayram Trapp,26,Kreditkarte,16.99,6,29.07.2022,17:28:08
Univ.Prof. Mohamed Haering B.Eng.,31,Kreditkarte,16.99,9,29.07.2022,17:28:27
Frau Gisa Freudenberger,52,EC-Karte,27.99,3,29.07.2022,17:38:17
Patrizia Kusch,28,EC-Karte,16.99,6,29.07.2022,17:38:46
Dipl.-Ing. Artur Flantz B.Eng.,32,EC-Karte,23.99,6,29.07.2022,17:39:49
Juliana Schönland,26,Kreditkarte,23.99,4,29.07.2022,17:40:21
Samir Lehmann B.A.,59,Bar,44.99,5,29.07.2022,17:42:05
Veronica Scheibe-Börner,34,Kreditkarte,22.99,1,29.07.2022,17:56:40
Zoran Jockel-Meyer,25,Bar,15.99,2,29.07.2022,18:27:11
Walter Trüb-Zahn,31,Kreditkarte,19.99,3,29.07.2022,19:14:43
Dr. Cläre Pölitz B.Sc.,28,Bar,18.99,4,29.07.2022,19:18:11
Oda Heß,66,EC-Karte,51.99,4,30.07.2022,10:13:21
Adam Henck,32,Bar,15.99,2,30.07.2022,10:30:02
Uwe Schmidt B.Eng.,65,Kreditkarte,39.99,4,30.07.2022,10:51:37
Gert Oderwald,49,EC-Karte,42.99,5,30.07.2022,11:03:15
Markus Kaul,28,Kreditkarte,20.99,3,30.07.2022,11:04:53
Dipl.-Ing. Thorben Eigenwillig B.A.,35,EC-Karte,22.99,3,30.07.2022,11:48:24
Lioba Scheel,73,EC-Karte,47.99,7,30.07.2022,11:53:05
Mariola Rose,60,EC-Karte,22.99,4,30.07.2022,12:01:40
Carmen Jüttner,26,Kreditkarte,24.99,3,30.07.2022,12:34:18
Fanny Kroker,59,Kreditkarte,37.99,5,30.07.2022,12:54:34
Herr Max Thanel B.Eng.,55,Bar,43.99,2,30.07.2022,13:08:46
Heinz-Günter Keudel-Rädel,61,EC-Karte,37.99,6,30.07.2022,13:13:08
Rosalia Renner,22,Kreditkarte,20.99,3,30.07.2022,13:20:12
Ursel Hein B.A.,35,Kreditkarte,20.99,2,30.07.2022,13:50:59
Stanislaus Nerger,26,Kreditkarte,29.99,2,30.07.2022,14:41:15
Dr. Alban Ortmann,26,Kreditkarte,18.99,3,30.07.2022,14:44:40
Hannchen Schmidtke,51,EC-Karte,39.99,1,30.07.2022,14:50:27
Dipl.-Ing. Georg Pruschke B.Eng.,46,Kreditkarte,41.99,4,30.07.2022,15:18:08
Hans-Herbert Kabus-Wilms,37,EC-Karte,37.99,5,30.07.2022,16:02:50
Heinz-Peter Schleich MBA.,30,EC-Karte,16.99,2,30.07.2022,16:42:30
Dr. Elenore Staude B.Eng.,64,EC-Karte,38.99,5,30.07.2022,16:46:34
Ines Scheuermann-Sölzer,70,EC-Karte,43.99,4,30.07.2022,17:13:43
Gerlinde Hering,64,Kreditkarte,36.99,1,30.07.2022,17:25:49
Ulla Mangold-Lehmann,25,EC-Karte,24.99,2,30.07.2022,17:35:59
Jan Karz,20,EC-Karte,20.99,1,30.07.2022,18:50:56
Anne Cichorius B.A.,32,Kreditkarte,26.99,2,30.07.2022,19:35:24
Frau Ivana Meister,24,Bar,28.99,3,30.07.2022,19:55:43
Donata Trubin,47,Bar,26.99,3,31.07.2022,10:00:12
Univ.Prof. Erna Stoll,23,Kreditkarte,30.99,2,31.07.2022,10:07:31
Hans-Günther Scheibe,53,Bar,49.99,6,31.07.2022,10:09:53
Edeltraut Kohl MBA.,24,EC-Karte,21.99,1,31.07.2022,10:32:21
Ahmad Johann,35,EC-Karte,21.99,3,31.07.2022,11:00:50
Dipl.-Ing. Alice Neureuther,56,EC-Karte,37.99,3,31.07.2022,11:03:40
Georgios Jähn,26,EC-Karte,16.99,3,31.07.2022,11:30:46
Iwona Atzler-Misicher,35,Bar,21.99,6,31.07.2022,11:35:28
Katarina Junitz,28,EC-Karte,11.99,3,31.07.2022,12:45:06
Frau Annegrete Beyer,31,EC-Karte,26.99,3,31.07.2022,13:56:37
Rudolf Heidrich,50,Kreditkarte,44.99,2,31.07.2022,14:04:47
Lieschen Tschentscher-Hörle,56,EC-Karte,35.99,9,31.07.2022,14:07:34
Dimitrios Kaul B.Sc.,56,Bar,43.99,6,31.07.2022,14:19:43
Celal Austermühle,62,Kreditkarte,40.99,5,31.07.2022,15:00:21
Elias Pohl,33,Kreditkarte,27.99,3,31.07.2022,15:19:03
Hedwig Rust,69,Kreditkarte,39.99,5,31.07.2022,15:33:56
Prof. Nuri Bärer,55,EC-Karte,40.99,3,31.07.2022,15:51:05
Thilo Wilms,22,Kreditkarte,15.99,4,31.07.2022,15:53:09
Univ.Prof. Simone Börner,60,Kreditkarte,43.99,6,31.07.2022,16:51:37
Senol Gröttner-Stiebitz,56,Bar,40.99,3,31.07.2022,17:05:59
Ernst Eigenwillig,26,Bar,20.99,4,31.07.2022,17:09:56
Prof. Jens-Peter Hörle,22,Bar,16.99,4,31.07.2022,17:36:12
Prof. Olav Scholz B.Sc.,30,EC-Karte,24.99,5,31.07.2022,17:38:02
Lidia Juncken-Kuhl,29,EC-Karte,24.99,6,31.07.2022,18:01:25
Nadine Jacob,21,Kreditkarte,21.99,5,31.07.2022,18:12:15
Cilli Gude B.Eng.,26,EC-Karte,18.99,2,31.07.2022,18:34:31
Ingetraud Junk-Franke,72,EC-Karte,45.99,4,31.07.2022,18:35:18
Prof. Leander Kramer B.A.,50,Bar,42.99,7,31.07.2022,18:52:28
Nicolai Wernecke,26,EC-Karte,16.99,5,01.08.2022,10:27:31
Uschi Drub,62,Bar,48.99,3,01.08.2022,10:30:41
Anika Junck,35,Kreditkarte,18.99,1,01.08.2022,10:39:50
Wilfried Stahr,33,EC-Karte,21.99,5,01.08.2022,12:13:09
Cilly Etzold MBA.,50,EC-Karte,37.99,5,01.08.2022,12:13:56
Agata Peukert,28,Bar,23.99,3,01.08.2022,12:25:44
Marit Mülichen,61,Kreditkarte,47.99,6,01.08.2022,12:43:59
Gaetano Kohl,55,Kreditkarte,40.99,3,01.08.2022,13:09:25
Alla Kühnert MBA.,53,Kreditkarte,40.99,7,01.08.2022,13:22:53
Ferenc Säuberlich,51,EC-Karte,41.99,8,01.08.2022,13:23:44
Olaf Speer,22,Kreditkarte,21.99,2,01.08.2022,13:37:50
Edward Kraushaar,31,Kreditkarte,22.99,2,01.08.2022,14:15:47
Sigmar Loos,31,EC-Karte,24.99,5,01.08.2022,14:40:00
Univ.Prof. Meryem Stadelmann B.Sc.,54,Bar,39.99,5,01.08.2022,14:41:34
Karl-Hermann Süßebier,54,Bar,50.99,2,01.08.2022,14:47:09
Lissi Wende-Holsten,51,Kreditkarte,41.99,3,01.08.2022,14:49:18
Heiko Gerlach,27,Kreditkarte,22.99,5,01.08.2022,16:34:12
Lucie Söding,53,Kreditkarte,47.99,3,01.08.2022,16:39:03
Lorenz Tröst-Davids,24,Bar,28.99,3,01.08.2022,17:10:28
Karl-Georg Boucsein-Scheel,63,EC-Karte,42.99,5,01.08.2022,17:52:15
Edgar Ortmann,29,Kreditkarte,22.99,2,01.08.2022,18:16:22
Toni Gröttner B.Eng.,27,EC-Karte,11.99,5,01.08.2022,18:52:25
Edmund Gorlitz,30,EC-Karte,22.99,3,01.08.2022,19:06:37
Ina Gnatz,54,Kreditkarte,45.99,9,01.08.2022,19:08:53
Hanni Gertz,19,EC-Karte,22.99,3,01.08.2022,19:12:06
Yilmaz Müller,20,Kreditkarte,20.99,1,01.08.2022,19:43:19
Rolf-Peter Drub,66,Kreditkarte,36.99,4,01.08.2022,19:45:34
Sabina Tlustek,36,Bar,21.99,7,02.08.2022,10:03:16
Heinz-Werner Martin,27,Bar,18.99,3,02.08.2022,10:18:35
Ing. Reinhard Bolzmann,51,Kreditkarte,47.99,6,02.08.2022,11:33:00
Emilia Pölitz,77,Bar,32.99,5,02.08.2022,12:08:28
Hans-Wolfgang Budig,52,EC-Karte,48.99,3,02.08.2022,12:24:15
Herr Gregor Metz,54,EC-Karte,38.99,4,02.08.2022,12:28:57
Gunther Mülichen,40,Kreditkarte,34.99,6,02.08.2022,12:42:22
Dipl.-Ing. Nicolas Meister B.Sc.,52,EC-Karte,59.99,2,02.08.2022,13:06:44
Ali Thies,26,Kreditkarte,14.99,2,02.08.2022,13:09:13
Frau Patricia Schomber,30,Bar,15.99,7,02.08.2022,13:50:54
Ignatz Herrmann B.A.,50,Bar,38.99,6,02.08.2022,14:03:32
Ilse Ernst,30,EC-Karte,15.99,3,02.08.2022,14:35:38
Dörthe Wesack,70,Bar,40.99,5,02.08.2022,15:02:47
Paolo Rädel-Krein,51,Kreditkarte,39.99,2,02.08.2022,15:11:19
Wolfgang Holsten,20,EC-Karte,20.99,6,02.08.2022,15:41:06
Margit Sauer,33,EC-Karte,19.99,3,02.08.2022,15:57:41
Herr Heiko Klotz B.A.,23,Kreditkarte,18.99,2,02.08.2022,16:43:25
Prof. Henriette Gumprich,27,Bar,24.99,5,02.08.2022,16:51:12
Calogero Ullmann,59,EC-Karte,37.99,6,02.08.2022,17:01:47
Romana Müller B.Eng.,29,Bar,21.99,2,02.08.2022,17:41:31
Drago Nette B.Eng.,44,Bar,36.99,6,02.08.2022,17:41:41
Jurij Liebelt-Ortmann,53,Kreditkarte,36.99,5,02.08.2022,17:51:22
Sylvio Stey,26,Kreditkarte,12.99,3,02.08.2022,17:52:38
Ilonka Klapp,41,EC-Karte,40.99,6,02.08.2022,18:54:06
Univ.Prof. Aziz Ruppert,48,EC-Karte,50.99,7,02.08.2022,19:04:57
Aneta Krein B.Eng.,60,EC-Karte,43.99,2,02.08.2022,19:06:03
Cemil Werner,28,Bar,15.99,4,02.08.2022,19:23:50
Prof. Corina Heintze MBA.,62,EC-Karte,37.99,4,02.08.2022,19:57:09
Dr. Mark Faust B.Eng.,66,Kreditkarte,36.99,5,03.08.2022,10:11:00
Ing. Leopold Bohlander,49,Bar,32.99,5,03.08.2022,10:24:16
Jan Hauffer,27,Bar,27.99,3,03.08.2022,10:45:32
Emine Hertrampf,44,Kreditkarte,46.99,4,03.08.2022,10:58:44
Prof. Sigurd Sontag B.A.,54,EC-Karte,41.99,8,03.08.2022,11:25:06
Baldur Mosemann B.A.,31,Bar,24.99,2,03.08.2022,11:37:00
Mechtild Langern,23,Bar,13.99,4,03.08.2022,12:05:10
Arthur Höfig B.Sc.,59,EC-Karte,38.99,5,03.08.2022,12:59:29
Prof. Gaby Adler,30,EC-Karte,23.99,4,03.08.2022,13:24:35
Herr Olaf Trupp MBA.,47,EC-Karte,43.99,2,03.08.2022,13:27:03
Raymond Renner,29,Bar,19.99,2,03.08.2022,13:45:25
Eberhard Liebelt B.A.,57,EC-Karte,38.99,6,03.08.2022,13:57:03
Caterina Etzler,37,Kreditkarte,22.99,5,03.08.2022,14:04:22
Alban Pergande,32,Kreditkarte,28.99,3,03.08.2022,14:12:19
Steffi Säuberlich,51,Kreditkarte,33.99,4,03.08.2022,14:16:51
Pascale Döring,25,Kreditkarte,24.99,5,03.08.2022,14:17:35
Horst Mende B.A.,52,Kreditkarte,44.99,2,03.08.2022,15:48:10
Antonius Preiß,31,Kreditkarte,21.99,3,03.08.2022,15:50:44
Univ.Prof. Ditmar Eberth B.Eng.,29,Bar,17.99,3,03.08.2022,16:09:41
Sophie Berger,69,Kreditkarte,37.99,9,03.08.2022,16:31:38
Drago Klemt,59,Kreditkarte,42.99,3,03.08.2022,16:32:28
Justus Sager,59,EC-Karte,41.99,3,03.08.2022,16:47:13
Ruben Holsten-Döring,54,Bar,31.99,9,03.08.2022,17:14:19
Waltraut Niemeier,25,EC-Karte,22.99,3,03.08.2022,17:26:54
Friedbert Werner,20,Kreditkarte,16.99,4,03.08.2022,17:43:54
Frauke Lange,27,Bar,28.99,3,03.08.2022,18:48:57
Ing. Carmelo Butte,31,EC-Karte,15.99,2,03.08.2022,19:31:48
Ing. Alida Henck,31,Kreditkarte,26.99,4,04.08.2022,10:18:23
Rüdiger Radisch-Heidrich,61,Bar,36.99,3,04.08.2022,10:30:32
Dipl.-Ing. Catrin Barth MBA.,36,EC-Karte,29.99,4,04.08.2022,11:12:45
Wiebke Hecker,61,Kreditkarte,40.99,5,04.08.2022,11:37:38
Reginald Boucsein,63,EC-Karte,36.99,5,04.08.2022,11:43:51
Gerhild Stolze,44,EC-Karte,44.99,6,04.08.2022,12:21:26
Sonja Herrmann B.Sc.,45,Kreditkarte,53.99,6,04.08.2022,12:28:32
Jana Fiebig-Stolze,30,Kreditkarte,18.99,3,04.08.2022,12:42:48
Dr. Thomas Schuster,27,EC-Karte,17.99,2,04.08.2022,12:49:42
Filiz Putz,50,Kreditkarte,41.99,4,04.08.2022,13:33:29
Kriemhild Naser-Noack,59,EC-Karte,35.99,3,04.08.2022,13:34:57
Janko Förster-Tschentscher,35,Bar,27.99,6,04.08.2022,14:11:48
Zlatko Stadelmann-Beier,54,EC-Karte,39.99,4,04.08.2022,14:14:13
Kata Paffrath,26,Kreditkarte,19.99,2,04.08.2022,14:30:41
Ali Döhn-Dowerg,76,EC-Karte,32.99,9,04.08.2022,15:41:07
Korbinian Junken,27,EC-Karte,13.99,2,04.08.2022,15:55:07
Hilma Möchlichen,24,Kreditkarte,17.99,2,04.08.2022,15:58:16
Paolo Juncken,62,EC-Karte,42.99,4,04.08.2022,16:04:57
Ottilie Bolzmann B.Eng.,30,Kreditkarte,30.99,3,04.08.2022,16:28:01
Hans Peter Stey,54,EC-Karte,49.99,2,04.08.2022,16:30:54
Cäcilia Heintze,36,Kreditkarte,32.99,1,04.08.2022,16:41:04
Isolde Ritter-Jäntsch,19,Kreditkarte,23.99,3,04.08.2022,16:56:51
Kevin Textor-Rosemann,31,EC-Karte,19.99,2,04.08.2022,17:59:35
Dipl.-Ing. Valeska Barkholz B.Sc.,26,EC-Karte,19.99,3,04.08.2022,18:30:10
Birgit Budig,29,Bar,12.99,5,04.08.2022,18:50:19
Solveig Kusch,64,Kreditkarte,32.99,4,04.08.2022,18:50:23
Ruben Rogge B.Sc.,29,EC-Karte,24.99,2,04.08.2022,19:23:16
Ariane Hübel,24,Kreditkarte,16.99,5,04.08.2022,19:50:26
Wolfram Heidrich,53,Bar,51.99,4,05.08.2022,10:23:58
Clara Fechner-Beer,57,Kreditkarte,44.99,7,05.08.2022,11:04:20
Leokadia Kranz,32,EC-Karte,17.99,5,05.08.2022,12:12:39
Diana Mies,70,EC-Karte,29.99,5,05.08.2022,12:35:10
Ida Eberth B.A.,43,Bar,45.99,3,05.08.2022,12:38:23
Evi Schönland-Zänker,32,EC-Karte,19.99,3,05.08.2022,12:39:48
Herr Hannes Ziegert,39,Kreditkarte,18.99,4,05.08.2022,13:09:35
Annerose Gerlach,52,Bar,32.99,8,05.08.2022,13:19:29
Univ.Prof. Jaqueline Schmidt B.Sc.,31,Bar,28.99,3,05.08.2022,14:02:13
Hannah Pechel B.Sc.,33,Kreditkarte,15.99,2,05.08.2022,14:24:20
Polina Geisler,50,Bar,33.99,4,05.08.2022,14:46:29
Erol Boucsein,53,Bar,36.99,10,05.08.2022,15:02:04
Marit Gunpf B.A.,54,EC-Karte,42.99,1,05.08.2022,15:13:01
Corina Ortmann,62,Bar,38.99,5,05.08.2022,15:27:55
Nevenka Herrmann,35,Bar,20.99,3,05.08.2022,15:29:42
Ottmar Gröttner,29,Kreditkarte,19.99,4,05.08.2022,16:17:32
Hajo Birnbaum,69,Kreditkarte,48.99,5,05.08.2022,16:39:45
Maya Fritsch-Renner,32,Kreditkarte,19.99,2,05.08.2022,16:59:10
Inken Gertz,36,EC-Karte,16.99,3,05.08.2022,17:21:39
Dipl.-Ing. Hiltrud Stumpf,39,EC-Karte,21.99,2,05.08.2022,17:27:45
Sergio Sorgatz,67,EC-Karte,32.99,7,05.08.2022,17:39:04
Sigmund Mende,35,EC-Karte,24.99,1,05.08.2022,18:32:07
Sandro Adler B.Eng.,26,Bar,17.99,7,05.08.2022,18:37:26
Hardy Pruschke,31,Kreditkarte,16.99,1,05.08.2022,19:04:17
Viola van der Dussen,57,Bar,48.99,4,05.08.2022,19:17:13
Ing. Arndt Barkholz,61,Bar,49.99,3,05.08.2022,19:34:51
Adolfine Zahn,26,Kreditkarte,26.99,5,05.08.2022,19:52:54
Andrew Weinhage,57,Kreditkarte,38.99,3,06.08.2022,10:19:20
Univ.Prof. Michaele Hahn,61,Bar,42.99,6,06.08.2022,10:34:45
Sami Steinberg,64,Kreditkarte,28.99,8,06.08.2022,11:14:07
Gerti Stoll,28,EC-Karte,17.99,1,06.08.2022,11:14:26
Teresa Radisch-Weller,30,Kreditkarte,15.99,2,06.08.2022,11:47:58
Nadeschda Süßebier-Gerlach,33,Bar,16.99,3,06.08.2022,12:44:17
Otfried Bender,26,Kreditkarte,26.99,5,06.08.2022,12:47:08
Dipl.-Ing. Svea Bender B.Sc.,47,EC-Karte,25.99,5,06.08.2022,12:50:33
Vassilios Rosemann,40,Bar,22.99,3,06.08.2022,12:52:26
Antje Adolph B.Eng.,33,Kreditkarte,24.99,3,06.08.2022,13:17:01
Margarita Stadelmann,25,Kreditkarte,21.99,3,06.08.2022,13:35:52
Eckehard Naser,71,Bar,40.99,8,06.08.2022,13:41:52
Cemil auch Schlauchin,64,EC-Karte,43.99,3,06.08.2022,13:49:42
Univ.Prof. Hannchen Weihmann,24,Bar,16.99,2,06.08.2022,13:58:48
Anneke Buchholz,31,Kreditkarte,20.99,2,06.08.2022,14:11:14
Niko Schmiedecke,54,Bar,48.99,5,06.08.2022,14:26:23
Marie-Luise Klapp-Kaul,59,Bar,39.99,3,06.08.2022,14:45:01
Ortwin Zirme-Jopich,60,Bar,43.99,3,06.08.2022,14:54:58
Claus-Peter Kreusel B.Sc.,26,Kreditkarte,22.99,2,06.08.2022,16:13:17
Dr. Sabri Förster B.Eng.,61,EC-Karte,35.99,5,06.08.2022,16:47:30
Annett Schaaf-Schaaf,65,Kreditkarte,47.99,2,06.08.2022,17:40:04
Dr. Dörte Gutknecht,63,EC-Karte,40.99,2,06.08.2022,18:36:11
Jacob Karz,50,EC-Karte,33.99,4,06.08.2022,18:54:36
Silvana Henck,20,EC-Karte,26.99,2,06.08.2022,18:56:36
Dr. Hans-Christian Gotthard,59,EC-Karte,44.99,6,06.08.2022,19:08:33
Dr. Ingbert Lange B.Sc.,33,Kreditkarte,18.99,3,06.08.2022,19:28:55
Ing. Slavica Rosemann B.Eng.,68,Kreditkarte,47.99,6,06.08.2022,19:50:39
Hans-Helmut Seifert,27,Bar,24.99,4,06.08.2022,19:51:42
Prof. Alena Sontag MBA.,26,Bar,13.99,4,07.08.2022,10:03:49
Prof. Gertrud Kostolzin,35,Bar,27.99,2,07.08.2022,10:16:33
Carlo Steinberg,58,Bar,45.99,6,07.08.2022,10:23:55
Harm Finke,53,Kreditkarte,30.99,6,07.08.2022,10:50:30
Irene Buchholz-Wähner,31,EC-Karte,23.99,2,07.08.2022,12:02:14
Gotthard Pechel,26,EC-Karte,18.99,4,07.08.2022,12:02:42
Dino Atzler,53,Bar,35.99,4,07.08.2022,12:16:30
Halina Seifert,30,EC-Karte,23.99,1,07.08.2022,12:41:46
Frau Beata Gierschner,59,Kreditkarte,41.99,4,07.08.2022,12:42:17
Alwine Nette,60,Bar,45.99,6,07.08.2022,13:06:52
Lilli Meyer,31,Kreditkarte,17.99,4,07.08.2022,13:11:21
Halil Caspar,62,Bar,46.99,4,07.08.2022,13:59:39
Clarissa Cichorius,29,Kreditkarte,20.99,2,07.08.2022,14:23:05
Dr. Anna-Marie Caspar MBA.,37,Kreditkarte,19.99,1,07.08.2022,14:47:14
Stavros Dussen van MBA.,54,Kreditkarte,41.99,12,07.08.2022,14:53:11
Univ.Prof. Lucie Schaaf,46,Bar,45.99,6,07.08.2022,15:40:23
Prof. Edda Harloff,24,EC-Karte,20.99,3,07.08.2022,16:11:58
Antje Karz,56,Bar,34.99,4,07.08.2022,16:30:27
Mike Speer B.Eng.,46,Kreditkarte,36.99,6,07.08.2022,17:25:55
Prof. Gino Säuberlich B.A.,34,EC-Karte,20.99,4,07.08.2022,17:30:20
